Region,ID,MonsterName,Prefab,Count,SpawnTime,Delay
1,9001,Bat,Resources/EnemyUnitPrefabs/Bat,3,0,0.5
1,9002,Chicken,Resources/EnemyUnitPrefabs/Chicken,6,0,0.5
1,9003,Bat,Resources/EnemyUnitPrefabs/Bat,4,0,0.5
1,9004,Golem,Resources/EnemyUnitPrefabs/Golem,3,0,0.5
1,9005,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,3,0,1
1,9006,Golem,Resources/EnemyUnitPrefabs/Golem,2,0,0.5
1,5001,DeathAttacker,Resources/EnemyUnitPrefabs/DeathAttacker,1,0,0.5
1,1111111,Spore,Resources/EnemyUnitPrefabs/Spore,1,0,0.5
1,1111111,FireGolem,Resources/EnemyUnitPrefabs/FireGolem,1,0,0.5
1,1111111,Wraith,Resources/EnemyUnitPrefabs/Wraith,1,0,0.5
1,1111111,IceGolem,Resources/EnemyUnitPrefabs/IceGolem,1,0,0.5
1,1111111,FireBird,Resources/EnemyUnitPrefabs/FireBird,1,0,0.5
1,1111111,ScorpionKing,Resources/EnemyUnitPrefabs/ScorpionKing,1,0,0.5
1,1111111,GrimReaper,Resources/EnemyUnitPrefabs/GrimReaper,1,0,0.5
1,1111111,WormQueen,Resources/EnemyUnitPrefabs/WormQueen,1,0,0.5
2,1,Bat,Resources/EnemyUnitPrefabs/Bat,3,0,0.5
2,2,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,3,0,1
2,2,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,4,2.5,0.3
2,3,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,4,3.5,0.5
2,3,Bat,Resources/EnemyUnitPrefabs/Bat,3,0,0.9
2,4,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,7,3,0.5
2,4,Golem,Resources/EnemyUnitPrefabs/Golem,3,0,0.8
2,5,Golem,Resources/EnemyUnitPrefabs/Golem,3,0,0.8
2,5,Wraith,Resources/EnemyUnitPrefabs/Wraith,1,9,0.5
2,6,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,6,6,0.5
2,6,Golem,Resources/EnemyUnitPrefabs/Golem,5,0,0.8
2,7,Golem,Resources/EnemyUnitPrefabs/Golem,7,0,0.8
2,7,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,4,6,0.5
2,8,Bat,Resources/EnemyUnitPrefabs/Bat,7,0,0.9
2,8,Golem,Resources/EnemyUnitPrefabs/Golem,8,9,0.6
2,9,Bat,Resources/EnemyUnitPrefabs/Bat,7,5,0.8
2,9,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,6,0,0.5
2,9,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,5,8,0.5
2,10,Wraith,Resources/EnemyUnitPrefabs/Wraith,1,8,0.5
2,10,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,5,0,0.8
2,1001,Golem,Resources/EnemyUnitPrefabs/Golem,10,8,0.5
2,1001,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,8,0,0.3
2,1002,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,11,0,0.5
2,1002,Bat,Resources/EnemyUnitPrefabs/Bat,4,7,0.5
2,1003,Golem,Resources/EnemyUnitPrefabs/Golem,10,8,0.5
2,1003,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,11,0,0.5
2,1004,Golem,Resources/EnemyUnitPrefabs/Golem,14,9,0.5
2,1004,Bat,Resources/EnemyUnitPrefabs/Bat,8,0,0.5
2,1005,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,10,0,0.5
2,1005,Golem,Resources/EnemyUnitPrefabs/Golem,6,9,0.7
2,1005,SpiderKing,Resources/EnemyUnitPrefabs/SpiderKing,1,14,2.5
2,1005,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,5,4,0.4
2,9001,Bat,Resources/EnemyUnitPrefabs/Bat,2,4,0.5
2,9002,Golem,Resources/EnemyUnitPrefabs/Golem,1,3,0.8
2,9003,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,2,4,0.3
2,9004,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,1,6,1
2,9005,Bat,Resources/EnemyUnitPrefabs/Bat,3,5,0.9
2,9006,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,2,6,0.5
3,1,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,2,0,0.5
3,2,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,3,0,0.5
3,2,FireGolem,Resources/EnemyUnitPrefabs/FireGolem,1,5,0.6
3,3,FireGolem,Resources/EnemyUnitPrefabs/FireGolem,2,0,0.6
3,3,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,3,5,0.5
3,4,FireGolem,Resources/EnemyUnitPrefabs/FireGolem,3,0,0.6
3,5,SpiderKing,Resources/EnemyUnitPrefabs/SpiderKing,1,7,0
3,6,FireGolem,Resources/EnemyUnitPrefabs/FireGolem,2,0,0.5
3,6,FireBird,Resources/EnemyUnitPrefabs/FireBird,3,3,0.6
3,7,FireBird,Resources/EnemyUnitPrefabs/FireBird,5,0,0.5
3,8,FireGolem,Resources/EnemyUnitPrefabs/FireGolem,3,0,0.5
3,8,FireBird,Resources/EnemyUnitPrefabs/FireBird,3,4,0.5
3,9,FireGolem,Resources/EnemyUnitPrefabs/FireGolem,5,8,0.5
3,9,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,8,0,0.4
3,10,FireGolem,Resources/EnemyUnitPrefabs/FireGolem,4,0,0.5
3,10,FireBird,Resources/EnemyUnitPrefabs/FireBird,4,6,0.5
3,10,SpiderKing,Resources/EnemyUnitPrefabs/SpiderKing,1,10,0.5
3,1001,FireGolem,Resources/EnemyUnitPrefabs/FireGolem,8,0,0.4
3,1001,FireBird,Resources/EnemyUnitPrefabs/FireBird,5,5,0.5
3,1002,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,15,0,0.4
3,1002,FireGolem,Resources/EnemyUnitPrefabs/FireGolem,6,9,0.4
3,1003,FireBird,Resources/EnemyUnitPrefabs/FireBird,8,7,0.4
3,1003,FireGolem,Resources/EnemyUnitPrefabs/FireGolem,6,0,0.4
3,1004,FireGolem,Resources/EnemyUnitPrefabs/FireGolem,10,0,0.6
3,1004,SpiderKing,Resources/EnemyUnitPrefabs/SpiderKing,1,10,1.5
3,1005,FireGolem,Resources/EnemyUnitPrefabs/FireGolem,8,0,0.9
3,1005,FireBird,Resources/EnemyUnitPrefabs/FireBird,8,6,0.6
3,1005,SpiderKing,Resources/EnemyUnitPrefabs/SpiderKing,1,12,2.5
3,9001,FireBird,Resources/EnemyUnitPrefabs/FireBird,1,3,0.5
3,9002,FireGolem,Resources/EnemyUnitPrefabs/FireGolem,1,0,0.7
3,9003,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,1,2.5,0.7
3,9004,Bat,Resources/EnemyUnitPrefabs/Bat,3,3,0.7
3,9005,FireGolem,Resources/EnemyUnitPrefabs/FireGolem,2,2,0.9
3,9006,FireBird,Resources/EnemyUnitPrefabs/FireBird,2,0.5,0.8
4,1,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,2,4,0.5
4,1,Spook,Resources/EnemyUnitPrefabs/Spook,4,0,0.5
4,2,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,4,0,0.5
4,2,Spook,Resources/EnemyUnitPrefabs/Spook,5,5.5,0.5
4,2,IceGolem,Resources/EnemyUnitPrefabs/IceGolem,1,8,0.6
4,3,IceGolem,Resources/EnemyUnitPrefabs/IceGolem,3,5,0.6
4,3,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,5,0,0.5
4,4,IceGolem,Resources/EnemyUnitPrefabs/IceGolem,3,8,0.8
4,4,Spook,Resources/EnemyUnitPrefabs/Spook,5,0,0.6
4,4,Bat,Resources/EnemyUnitPrefabs/Bat,4,5,0.8
4,5,ScorpionKing,Resources/EnemyUnitPrefabs/ScorpionKing,1,5,0.3
4,6,IceGolem,Resources/EnemyUnitPrefabs/IceGolem,3,8,0.7
4,6,Bat,Resources/EnemyUnitPrefabs/Bat,5,0,0.8
4,7,IceGolem,Resources/EnemyUnitPrefabs/IceGolem,5,7,0.9
4,7,Spook,Resources/EnemyUnitPrefabs/Spook,8,0,0.8
4,8,IceGolem,Resources/EnemyUnitPrefabs/IceGolem,5,8,1.2
4,8,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,8,0,0.7
4,9,IceGolem,Resources/EnemyUnitPrefabs/IceGolem,6,14,1.2
4,9,Spook,Resources/EnemyUnitPrefabs/Spook,12,0,0.7
4,9,Bat,Resources/EnemyUnitPrefabs/Bat,4,6,0.5
4,9,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,2,10,0.4
4,10,IceGolem,Resources/EnemyUnitPrefabs/IceGolem,5,6,0.5
4,10,Bat,Resources/EnemyUnitPrefabs/Bat,6,0,0.5
4,10,ScorpionKing,Resources/EnemyUnitPrefabs/ScorpionKing,1,13,0.4
4,1001,IceGolem,Resources/EnemyUnitPrefabs/IceGolem,10,12,1.2
4,1001,Spook,Resources/EnemyUnitPrefabs/Spook,8,0,0.8
4,1001,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,8,5,0.7
4,1002,Bat,Resources/EnemyUnitPrefabs/Bat,12,0,0.7
4,1002,IceGolem,Resources/EnemyUnitPrefabs/IceGolem,8,7,1.3
4,1003,IceGolem,Resources/EnemyUnitPrefabs/IceGolem,10,8,1.2
4,1003,Spook,Resources/EnemyUnitPrefabs/Spook,12,0,0.6
4,1004,IceGolem,Resources/EnemyUnitPrefabs/IceGolem,12,12,1.1
4,1004,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,11,5,0.8
4,1004,Bat,Resources/EnemyUnitPrefabs/Bat,8,0,0.4
4,1005,IceGolem,Resources/EnemyUnitPrefabs/IceGolem,10,8,0.9
4,1005,ScorpionKing,Resources/EnemyUnitPrefabs/ScorpionKing,1,12,1.5
4,1005,Bat,Resources/EnemyUnitPrefabs/Bat,10,0,0.5
4,9001,Spook,Resources/EnemyUnitPrefabs/Spook,1,3,0.7
4,9002,IceGolem,Resources/EnemyUnitPrefabs/IceGolem,1,5,0.8
4,9003,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,1,8,1.2
4,9004,Golem,Resources/EnemyUnitPrefabs/Golem,2,5,1.2
4,9005,Spook,Resources/EnemyUnitPrefabs/Spook,2,1.5,0.6
4,9006,Bat,Resources/EnemyUnitPrefabs/Bat,4,0,0.8
5,1,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,3,0,0.5
5,1,Worm,Resources/EnemyUnitPrefabs/Worm,2,4,0.7
5,2,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,5,0,0.5
5,2,Worm,Resources/EnemyUnitPrefabs/Worm,2,5,0.7
5,3,Worm,Resources/EnemyUnitPrefabs/Worm,3,0,0.8
5,3,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,4,5,0.7
5,4,Worm,Resources/EnemyUnitPrefabs/Worm,5,0,0.8
5,4,GrimReaper,Resources/EnemyUnitPrefabs/GrimReaper,3,5,0.9
5,5,Wraith,Resources/EnemyUnitPrefabs/Wraith,1,8,0
5,6,Worm,Resources/EnemyUnitPrefabs/Worm,5,5,0.9
5,6,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,7,0,0.7
5,7,Worm,Resources/EnemyUnitPrefabs/Worm,7,5,0.7
5,7,GrimReaper,Resources/EnemyUnitPrefabs/GrimReaper,4,0,0.8
5,8,Worm,Resources/EnemyUnitPrefabs/Worm,6,0,0.4
5,8,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,8,7,0.4
5,9,Worm,Resources/EnemyUnitPrefabs/Worm,8,7,0.6
5,9,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,7,0,0.5
5,9,Bat,Resources/EnemyUnitPrefabs/Bat,4,4,0.7
5,10,Worm,Resources/EnemyUnitPrefabs/Worm,8,0,0.6
5,10,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,10,7,0.5
5,10,WormQueen,Resources/EnemyUnitPrefabs/WormQueen,1,13,0.8
5,1001,Worm,Resources/EnemyUnitPrefabs/Worm,10,0,0.7
5,1001,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,6,6,0.6
5,1002,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,12,8,0.8
5,1002,Worm,Resources/EnemyUnitPrefabs/Worm,10,0,0.5
5,1003,Worm,Resources/EnemyUnitPrefabs/Worm,13,0,0.4
5,1003,GrimReaper,Resources/EnemyUnitPrefabs/GrimReaper,8,8,0.7
5,1004,Worm,Resources/EnemyUnitPrefabs/Worm,16,12,0.8
5,1004,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,16,6,0.5
5,1004,Bat,Resources/EnemyUnitPrefabs/Bat,8,0,0.4
5,1005,Worm,Resources/EnemyUnitPrefabs/Worm,16,8,0.7
5,1005,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,16,4,0.5
5,1005,GrimReaper,Resources/EnemyUnitPrefabs/GrimReaper,7,0,0.5
5,1005,WormQueen,Resources/EnemyUnitPrefabs/WormQueen,1,13,1.2
5,9001,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,1,2.5,0.8
5,9002,Worm,Resources/EnemyUnitPrefabs/Worm,1,4,0.9
5,9003,Bat,Resources/EnemyUnitPrefabs/Bat,1,3.5,0.5
5,9004,Worm,Resources/EnemyUnitPrefabs/Worm,2,2.3,0.8
5,9005,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,2,3,0.6
5,9006,Bat,Resources/EnemyUnitPrefabs/Bat,2,8,0.4
6,1,Spore,Resources/EnemyUnitPrefabs/Spore,6,0,0.7
6,2,Spore,Resources/EnemyUnitPrefabs/Spore,9,0,0.8
6,3,Spore,Resources/EnemyUnitPrefabs/Spore,8,0,0.7
6,3,Bat,Resources/EnemyUnitPrefabs/Bat,4,6,0.5
6,4,Spore,Resources/EnemyUnitPrefabs/Spore,10,0,0.5
6,4,Bat,Resources/EnemyUnitPrefabs/Bat,5,7,0.5
6,5,Bat,Resources/EnemyUnitPrefabs/Bat,5,0,0.5
6,5,Wraith,Resources/EnemyUnitPrefabs/Wraith,1,10,0
6,5,Spore,Resources/EnemyUnitPrefabs/Spore,8,5,0.4
6,6,Spore,Resources/EnemyUnitPrefabs/Spore,12,6,0.4
6,6,Bat,Resources/EnemyUnitPrefabs/Bat,6,0,0.7
6,7,Spore,Resources/EnemyUnitPrefabs/Spore,12,0,0.4
6,8,Spore,Resources/EnemyUnitPrefabs/Spore,14,0,0.4
6,8,Bat,Resources/EnemyUnitPrefabs/Bat,8,7,0.5
6,9,Spore,Resources/EnemyUnitPrefabs/Spore,14,8,0.4
6,9,Bat,Resources/EnemyUnitPrefabs/Bat,8,0,0.5
6,9,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,6,4,0.4
6,10,Spore,Resources/EnemyUnitPrefabs/Spore,14,0,0.4
6,10,Bat,Resources/EnemyUnitPrefabs/Bat,8,5.5,0.5
6,10,ScorpionKing,Resources/EnemyUnitPrefabs/ScorpionKing,1,8,2.5
6,10,Wraith,Resources/EnemyUnitPrefabs/Wraith,1,14,2
6,1001,Spore,Resources/EnemyUnitPrefabs/Spore,17,7,0.8
6,1001,Bat,Resources/EnemyUnitPrefabs/Bat,10,0,0.6
6,1002,Spore,Resources/EnemyUnitPrefabs/Spore,20,0,0.8
6,1002,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,10,13,0.7
6,1002,Bat,Resources/EnemyUnitPrefabs/Bat,6,6,0.4
6,1003,Spore,Resources/EnemyUnitPrefabs/Spore,20,0,0.7
6,1003,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,8,9,0.3
6,1004,Spore,Resources/EnemyUnitPrefabs/Spore,24,0,0.6
6,1004,Bat,Resources/EnemyUnitPrefabs/Bat,12,7,0.5
6,1005,Spore,Resources/EnemyUnitPrefabs/Spore,24,0,0.6
6,1005,Bat,Resources/EnemyUnitPrefabs/Bat,5,5,0.4
6,1005,Wraith,Resources/EnemyUnitPrefabs/Wraith,1,15,2.5
6,1005,ScorpionKing,Resources/EnemyUnitPrefabs/ScorpionKing,1,9,2
6,9001,Spore,Resources/EnemyUnitPrefabs/Spore,2,3.5,0.7
6,9002,Bat,Resources/EnemyUnitPrefabs/Bat,2,6,0.5
6,9003,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,2,8,0.7
6,9004,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,4,7.5,0.3
6,9005,Spore,Resources/EnemyUnitPrefabs/Spore,3,8.5,0.8
6,9006,Scorpion,Resources/EnemyUnitPrefabs/Scorpion,3,4,0.9
